"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 01 17:33:01 EST 2021","Mon Mar 01 17:33:04 EST 2021","2909","Suite","Test","com.ghg.EngUserSector","com.ghg.EngUserSector","ReportA7","ReportA7",""
"passed","Mon Mar 01 17:27:12 EST 2021","Mon Mar 01 17:27:19 EST 2021","7782","Suite","Test","com.ghg.WaterUseF13","com.ghg.WaterUseF13","ReportF2","ReportF2",""
"passed","Mon Mar 01 17:33:17 EST 2021","Mon Mar 01 17:33:20 EST 2021","3053","Suite","Test","com.ghg.EngUserSector","com.ghg.EngUserSector","ReportA8","ReportA8",""
"passed","Mon Mar 01 17:28:56 EST 2021","Mon Mar 01 17:29:01 EST 2021","5266","Suite","Test","com.ghg.GoalSubjectBuildings","com.ghg.GoalSubjectBuildings","reportB2","reportB2",""
"passed","Mon Mar 01 17:28:21 EST 2021","Mon Mar 01 17:28:25 EST 2021","3213","Suite","Test","com.ghg.GreenhouseGasEmission","com.ghg.GreenhouseGasEmission","ReportE3","ReportE3",""
"passed","Mon Mar 01 17:30:32 EST 2021","Mon Mar 01 17:30:37 EST 2021","4759","Suite","Test","com.ghg.VehiclesandEquipmentD14","com.ghg.VehiclesandEquipmentD14","ReportD1","ReportD1",""
"passed","Mon Mar 01 17:34:43 EST 2021","Mon Mar 01 17:34:48 EST 2021","4901","Suite","Test","com.ghg.RenewableEnergyAllEndUserSectors","com.ghg.RenewableEnergyAllEndUserSectors","reportA12","reportA12",""
"passed","Mon Mar 01 17:29:54 EST 2021","Mon Mar 01 17:29:59 EST 2021","5060","Suite","Test","com.ghg.GoalSubjectBuildings","com.ghg.GoalSubjectBuildings","reportB5","reportB5",""
"passed","Mon Mar 01 17:32:13 EST 2021","Mon Mar 01 17:32:17 EST 2021","4454","Suite","Test","com.ghg.EngUserSector","com.ghg.EngUserSector","ReportA4","ReportA4",""
"passed","Mon Mar 01 17:31:41 EST 2021","Mon Mar 01 17:31:44 EST 2021","3014","Suite","Test","com.ghg.EngUserSector","com.ghg.EngUserSector","ReportA2","ReportA2",""
"passed","Mon Mar 01 17:26:54 EST 2021","Mon Mar 01 17:26:59 EST 2021","4966","Suite","Test","com.ghg.WaterUseF13","com.ghg.WaterUseF13","ReportF1","ReportF1",""
"passed","Mon Mar 01 17:33:33 EST 2021","Mon Mar 01 17:33:36 EST 2021","3322","Suite","Test","com.ghg.EngUserSector","com.ghg.EngUserSector","ReportA15","ReportA15",""
"passed","Mon Mar 01 17:34:26 EST 2021","Mon Mar 01 17:34:31 EST 2021","4924","Suite","Test","com.ghg.RenewableEnergyAllEndUserSectors","com.ghg.RenewableEnergyAllEndUserSectors","reportA11","reportA11",""
"passed","Mon Mar 01 17:29:35 EST 2021","Mon Mar 01 17:29:40 EST 2021","4810","Suite","Test","com.ghg.GoalSubjectBuildings","com.ghg.GoalSubjectBuildings","reportB4","reportB4",""
"passed","Mon Mar 01 17:31:09 EST 2021","Mon Mar 01 17:31:14 EST 2021","4860","Suite","Test","com.ghg.VehiclesandEquipmentD14","com.ghg.VehiclesandEquipmentD14","ReportD3","ReportD3",""
"passed","Mon Mar 01 17:27:51 EST 2021","Mon Mar 01 17:27:53 EST 2021","2696","Suite","Test","com.ghg.GreenhouseGasEmission","com.ghg.GreenhouseGasEmission","ReportE1","ReportE1",""
"passed","Mon Mar 01 17:35:22 EST 2021","Mon Mar 01 17:35:27 EST 2021","5178","Suite","Test","com.ghg.RenewableEnergyAllEndUserSectors","com.ghg.RenewableEnergyAllEndUserSectors","reportA14","reportA14",""
"passed","Mon Mar 01 17:26:36 EST 2021","Mon Mar 01 17:26:41 EST 2021","4815","Suite","Test","com.ghg.GoalExcludedFacilities","com.ghg.GoalExcludedFacilities","ReportC4","ReportC4",""
"passed","Mon Mar 01 17:31:26 EST 2021","Mon Mar 01 17:31:29 EST 2021","3458","Suite","Test","com.ghg.EngUserSector","com.ghg.EngUserSector","ReportA1","ReportA1",""
"passed","Mon Mar 01 17:29:17 EST 2021","Mon Mar 01 17:29:22 EST 2021","5050","Suite","Test","com.ghg.GoalSubjectBuildings","com.ghg.GoalSubjectBuildings","reportB3","reportB3",""
"passed","Mon Mar 01 17:28:38 EST 2021","Mon Mar 01 17:28:44 EST 2021","5540","Suite","Test","com.ghg.GoalSubjectBuildings","com.ghg.GoalSubjectBuildings","reportB1","reportB1",""
"passed","Mon Mar 01 17:33:50 EST 2021","Mon Mar 01 17:33:55 EST 2021","5014","Suite","Test","com.ghg.RenewableEnergyAllEndUserSectors","com.ghg.RenewableEnergyAllEndUserSectors","reportA9","reportA9",""
"passed","Mon Mar 01 17:32:44 EST 2021","Mon Mar 01 17:32:48 EST 2021","3211","Suite","Test","com.ghg.EngUserSector","com.ghg.EngUserSector","ReportA6","ReportA6",""
"passed","Mon Mar 01 17:25:40 EST 2021","Mon Mar 01 17:25:46 EST 2021","5323","Suite","Test","com.ghg.GoalExcludedFacilities","com.ghg.GoalExcludedFacilities","ReportC2","ReportC2",""
"passed","Mon Mar 01 17:34:08 EST 2021","Mon Mar 01 17:34:14 EST 2021","5771","Suite","Test","com.ghg.RenewableEnergyAllEndUserSectors","com.ghg.RenewableEnergyAllEndUserSectors","reportA10","reportA10",""
"passed","Mon Mar 01 17:27:32 EST 2021","Mon Mar 01 17:27:38 EST 2021","5333","Suite","Test","com.ghg.WaterUseF13","com.ghg.WaterUseF13","ReportF3","ReportF3",""
"passed","Mon Mar 01 17:30:12 EST 2021","Mon Mar 01 17:30:19 EST 2021","7313","Suite","Test","com.ghg.GoalSubjectBuildings","com.ghg.GoalSubjectBuildings","reportB6","reportB6",""
"passed","Mon Mar 01 17:31:56 EST 2021","Mon Mar 01 17:32:00 EST 2021","3450","Suite","Test","com.ghg.EngUserSector","com.ghg.EngUserSector","ReportA3","ReportA3",""
"passed","Mon Mar 01 17:35:02 EST 2021","Mon Mar 01 17:35:08 EST 2021","5618","Suite","Test","com.ghg.RenewableEnergyAllEndUserSectors","com.ghg.RenewableEnergyAllEndUserSectors","reportA13","reportA13",""
"passed","Mon Mar 01 17:30:50 EST 2021","Mon Mar 01 17:30:56 EST 2021","5571","Suite","Test","com.ghg.VehiclesandEquipmentD14","com.ghg.VehiclesandEquipmentD14","ReportD2","ReportD2",""
"passed","Mon Mar 01 17:26:15 EST 2021","Mon Mar 01 17:26:20 EST 2021","5028","Suite","Test","com.ghg.GoalExcludedFacilities","com.ghg.GoalExcludedFacilities","ReportC3","ReportC3",""
"passed","Mon Mar 01 17:28:06 EST 2021","Mon Mar 01 17:28:09 EST 2021","2915","Suite","Test","com.ghg.GreenhouseGasEmission","com.ghg.GreenhouseGasEmission","ReportE2","ReportE2",""
"passed","Mon Mar 01 17:25:11 EST 2021","Mon Mar 01 17:25:20 EST 2021","9033","Suite","Test","com.ghg.GoalExcludedFacilities","com.ghg.GoalExcludedFacilities","ReportC1","ReportC1",""
"passed","Mon Mar 01 17:32:29 EST 2021","Mon Mar 01 17:32:33 EST 2021","3124","Suite","Test","com.ghg.EngUserSector","com.ghg.EngUserSector","ReportA5","ReportA5",""
